Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,2,Not Graduate,No,33354,4234,886690,120,1,Rural,Y
Female,Yes,3+,Not Graduate,Yes,37190,3764,721868,360,0,Urban,N
Male,Yes,1,Not Graduate,Yes,21142,43949,135166,120,1,Rural,Y
Male,Yes,3+,Not Graduate,Yes,43398,37405,784276,240,1,Urban,Y
Male,Yes,3+,Graduate,No,66971,34872,425854,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,56862,42215,347843,300,1,Urban,Y
Male,No,3+,Not Graduate,No,68410,23185,358479,180,1,Urban,Y
Male,Yes,2,Graduate,No,34503,43442,883238,240,0,Semiurban,N
Male,No,0,Not Graduate,No,63456,41153,914285,240,1,Urban,Y
Female,No,0,Graduate,No,97035,11999,769128,180,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,23016,36487,347883,180,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,17384,2581,609073,300,0,Urban,N
Male,No,1,Graduate,No,77320,2763,213052,240,0,Rural,Y
Male,Yes,3+,Graduate,Yes,30072,27374,806079,240,0,Rural,N
Female,Yes,1,Not Graduate,Yes,95018,38759,537918,120,1,Semiurban,Y
Male,No,3+,Not Graduate,No,55510,10531,921448,360,1,Rural,Y
Female,No,0,Graduate,No,63933,25307,444825,360,1,Rural,Y
Female,Yes,1,Graduate,Yes,36826,30835,116253,120,1,Urban,Y
Female,No,0,Not Graduate,Yes,83026,11064,528697,360,1,Semiurban,Y
Male,Yes,3+,Graduate,No,40518,11312,665416,180,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,39045,37548,995645,360,0,Urban,N
Male,Yes,2,Not Graduate,Yes,65876,36945,211081,360,1,Rural,Y
Female,No,1,Not Graduate,No,66919,47937,964013,120,1,Semiurban,Y
Female,No,0,Not Graduate,No,42103,6476,685254,300,1,Rural,Y
Female,No,0,Graduate,No,51188,24565,187854,360,1,Semiurban,Y
Female,No,1,Graduate,Yes,20845,2382,673640,360,1,Semiurban,Y
Female,No,2,Graduate,Yes,51674,49683,469149,300,1,Semiurban,Y
Female,Yes,3+,Graduate,Yes,34337,22463,913586,120,1,Semiurban,Y
Female,Yes,1,Graduate,No,37313,45276,713667,300,1,Rural,Y
Female,Yes,3+,Graduate,No,41943,33402,797567,120,1,Rural,Y
Male,Yes,2,Graduate,Yes,92949,26345,811569,180,1,Rural,Y
Male,No,0,Not Graduate,Yes,15276,44764,682585,120,0,Rural,N
Female,Yes,2,Graduate,Yes,66151,26946,781234,180,1,Urban,Y
Female,No,1,Graduate,No,32611,14162,612634,180,0,Semiurban,N
Female,Yes,0,Not Graduate,Yes,26944,49154,162138,120,1,Semiurban,Y
Male,No,1,Graduate,Yes,67887,46773,362916,240,1,Semiurban,Y
Female,No,1,Graduate,No,96442,8397,90149,120,1,Urban,Y
Male,Yes,2,Not Graduate,No,64847,22335,398844,360,1,Rural,Y
Male,Yes,1,Graduate,No,73653,45095,732886,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,71622,14394,933190,240,1,Rural,Y
Male,Yes,0,Graduate,No,42810,27197,528928,180,1,Rural,Y
Male,No,2,Not Graduate,No,92842,22010,178447,240,1,Urban,Y
Female,Yes,0,Graduate,Yes,25503,24123,511693,360,1,Urban,Y
Female,Yes,2,Graduate,No,99761,22387,55695,240,1,Rural,Y
Female,No,3+,Not Graduate,Yes,51976,2890,613457,120,1,Semiurban,Y
Female,Yes,3+,Graduate,Yes,26590,27769,884379,240,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,25886,43626,228296,180,1,Urban,Y
Male,Yes,2,Not Graduate,No,27866,8026,882297,120,1,Urban,Y
Female,Yes,2,Graduate,No,81624,3306,730913,300,0,Urban,N
Female,Yes,0,Not Graduate,No,83899,33665,416645,360,0,Urban,N
Male,No,1,Not Graduate,No,47792,9277,372554,360,0,Urban,N
Female,Yes,2,Graduate,No,24764,42239,415898,240,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,57727,47664,403039,120,1,Urban,Y
Female,Yes,3+,Not Graduate,Yes,93471,48008,992320,300,1,Semiurban,Y
Male,Yes,2,Graduate,No,23068,14683,760386,120,1,Urban,Y
Female,Yes,2,Graduate,Yes,22295,670,362849,360,1,Urban,Y
Female,No,1,Graduate,No,56160,23675,242994,120,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,26390,17889,427844,300,1,Semiurban,Y
Male,No,1,Graduate,Yes,35131,44535,910346,240,1,Rural,Y
Male,No,2,Not Graduate,Yes,90969,13006,51881,180,1,Urban,Y
Male,Yes,0,Not Graduate,No,30038,48536,359509,120,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,67327,26531,571144,180,1,Urban,Y
Male,Yes,2,Not Graduate,No,92064,21639,129211,360,1,Urban,Y
Male,Yes,3+,Not Graduate,Yes,36281,16633,206078,240,1,Rural,Y
Male,No,2,Not Graduate,Yes,69189,34660,353342,240,1,Semiurban,Y
Female,Yes,3+,Not Graduate,Yes,63511,3439,990335,120,0,Semiurban,N
Female,Yes,3+,Graduate,Yes,23605,32172,937081,240,1,Urban,Y
Male,Yes,0,Graduate,Yes,16381,35622,983963,120,1,Urban,Y
Female,Yes,1,Not Graduate,No,81634,11577,475659,120,1,Urban,Y
Female,Yes,2,Not Graduate,No,34810,11763,277203,180,1,Rural,Y
Female,Yes,0,Graduate,Yes,39322,20176,769846,240,1,Rural,Y
Female,No,2,Not Graduate,Yes,56869,44386,711237,120,1,Semiurban,Y
Male,No,3+,Graduate,Yes,47955,24255,89553,180,1,Urban,Y
Female,Yes,1,Graduate,Yes,76388,41003,557353,300,1,Urban,Y
Male,Yes,2,Graduate,No,25207,19996,448138,180,0,Urban,N
Female,Yes,2,Not Graduate,Yes,82628,35386,959210,180,0,Urban,N
Female,No,3+,Not Graduate,No,43220,21062,953450,120,0,Rural,N
Female,Yes,2,Graduate,Yes,99050,35931,710046,360,0,Semiurban,N
Male,No,2,Graduate,No,89085,35710,82766,360,1,Semiurban,Y
Female,Yes,3+,Graduate,Yes,37031,34693,868438,360,0,Rural,N
Male,Yes,0,Graduate,Yes,85721,35740,605710,180,1,Urban,Y
Female,Yes,3+,Graduate,No,95807,11705,953022,120,0,Semiurban,N
Male,Yes,0,Not Graduate,Yes,86312,43408,324349,240,1,Semiurban,Y
Female,No,1,Graduate,Yes,74766,28047,529806,180,0,Rural,Y
Male,No,0,Not Graduate,Yes,27449,10966,204599,180,1,Urban,Y
Male,Yes,0,Graduate,No,71699,17374,816843,120,0,Semiurban,N
